feat_set,patient,rf_rmse,rf_mae,lstm_rmse,lstm_mae
glucose_only,User1,18.15024210877235,12.004215262817317,17.158979415893555,11.31460189819336
glucose_only,User3,15.384709391969139,11.524478739290176,14.421402931213379,10.791276931762695
glucose_only,User4,13.755939670868369,10.028947602024722,12.71197509765625,8.998512268066406
glucose_only,User5,11.384294027748618,8.422371484132979,10.829351425170898,7.718428611755371
glucose_only,User6,13.96410860471901,10.134459069865395,11.809762001037598,8.13428783416748
glucose_only,User7,16.82047690096683,10.14607211421162,15.358752250671387,9.035170555114746
glucose_only,User8,17.314393477435626,12.529598312322127,14.941852569580078,10.657413482666016
glucose_only,User9,17.09037171556667,12.021241088797463,16.105682373046875,11.388344764709473
glucose_only,User10,13.448991002051928,9.116780791604999,13.19318675994873,9.319042205810547
glucose_only,User12,12.415363742787921,9.295060981862877,11.923517227172852,8.7794771194458
glucose_only,User13,18.69212791823412,11.135868595541398,15.611677169799805,9.112526893615723
glucose_only,User14,14.47998075184124,10.290586439347319,12.324682235717773,9.00753116607666
glucose_only,User15,15.081617120955107,11.731653154879321,13.278193473815918,10.515722274780273
glucose_hr,User1,17.095867837571642,11.027263684941076,19.75916290283203,12.150346755981445
glucose_hr,User4,15.523317999339648,11.811621244784629,14.365593910217285,10.584668159484863
glucose_hr,User5,13.757075274752049,10.459230878882018,13.926342964172363,10.41177749633789
glucose_hr,User6,15.580463708285247,11.174737173635409,14.184741973876953,9.890593528747559
glucose_hr,User7,45.126190362957864,33.645958718805424,41.59886169433594,31.971445083618164
glucose_hr,User8,19.851590855468523,14.926873101176858,16.882450103759766,12.492958068847656
glucose_hr,User9,14.712521490200485,10.69448644063352,15.080169677734375,10.854575157165527
glucose_hr,User10,12.996063223855996,9.433307648309306,12.40995979309082,8.892420768737793
glucose_hr,User12,10.36900208110655,7.748129960283507,11.336896896362305,8.700371742248535
glucose_hr,User14,13.841421661050955,10.733733570825615,13.394075393676758,10.463645935058594
glucose_activity,User1,17.652509625338038,11.584679035568627,16.280290603637695,10.829371452331543
glucose_activity,User3,15.390352448466498,11.530467804537475,14.437101364135742,10.808719635009766
glucose_activity,User4,13.75971056566394,10.037363619388564,12.655467987060547,9.021771430969238
glucose_activity,User5,11.373137685323657,8.420547467202143,11.173330307006836,7.996691703796387
glucose_activity,User6,13.892664681346835,10.177206402149093,11.739965438842773,8.185060501098633
glucose_activity,User7,16.8192913204294,10.14957413342449,14.785908699035645,8.787492752075195
glucose_activity,User8,17.311878802931258,12.525381393178131,14.9481840133667,10.632902145385742
glucose_activity,User9,17.08926887777906,12.021142229307328,16.245031356811523,11.51499080657959
glucose_activity,User10,13.447029592772994,9.110489947892704,13.138973236083984,9.187762260437012
glucose_activity,User12,12.431512326456497,9.30977748414343,11.949596405029297,8.80048942565918
glucose_activity,User13,18.694009337131355,11.131232748317002,15.699466705322266,9.277077674865723
glucose_activity,User14,14.490726577759672,10.292135009512922,12.514730453491211,9.095921516418457
glucose_activity,User15,15.067466732127272,11.717820160267687,13.346514701843262,10.581413269042969
full_wearable,User1,16.344083600248464,10.61059757609816,18.9686336517334,12.147878646850586
full_wearable,User4,15.378147546742005,11.346155455190862,14.051355361938477,10.5036039352417
full_wearable,User5,13.335253335872379,9.934793615068878,13.886058807373047,10.457686424255371
full_wearable,User6,15.438679599725731,11.25025042393678,14.414081573486328,10.503544807434082
full_wearable,User7,41.538027789020575,30.5292119448537,42.109954833984375,31.841827392578125
full_wearable,User8,19.201258091080692,14.311819171411521,17.476810455322266,12.90939712524414
full_wearable,User9,14.894544464511505,10.781185788684434,15.145706176757812,10.83360767364502
full_wearable,User10,12.626283109147169,9.230029144786087,12.563819885253906,8.945836067199707
full_wearable,User12,9.881043912350595,7.320108313805205,10.164998054504395,8.017925262451172
full_wearable,User14,14.154365755682475,11.124095281565616,15.926445007324219,13.106282234191895
